,task_id,pass_3
0,1,1.0
1,5,1.0
2,6,1.0
3,8,1.0
4,9,1.0
5,11,1.0
6,12,1.0
7,13,1.0
8,17,1.0
9,18,1.0
10,19,1.0
11,20,1.0
12,21,1.0
13,22,1.0
14,23,1.0
15,24,1.0
16,25,1.0
17,26,1.0
18,27,1.0
19,28,1.0
20,31,1.0
21,33,1.0
22,35,1.0
23,36,1.0
24,37,1.0
25,41,1.0
26,42,1.0
27,43,1.0
28,44,1.0
29,45,1.0
30,46,1.0
31,47,1.0
32,51,1.0
33,52,1.0
34,53,1.0
35,54,1.0
36,55,1.0
37,56,1.0
38,57,1.0
39,58,1.0
40,59,1.0
41,60,1.0
42,62,1.0
43,63,1.0
44,64,0.8333333333333334
45,65,1.0
46,67,1.0
47,68,1.0
48,70,1.0
49,71,1.0
50,72,0.8333333333333334
51,73,1.0
52,74,1.0
53,75,1.0
54,76,1.0
55,77,1.0
56,78,1.0
57,79,0.8333333333333334
58,80,1.0
59,81,1.0
60,82,1.0
61,83,1.0
62,84,1.0
63,85,1.0
64,86,1.0
65,213,1.0
66,214,1.0
67,215,0.8333333333333334
68,216,1.0
69,219,1.0
70,220,1.0
71,221,1.0
72,224,0.8333333333333334
73,226,1.0
74,227,1.0
75,229,1.0
76,230,0.8333333333333334
77,231,0.8333333333333334
78,232,1.0
79,233,0.0
80,234,1.0
81,235,1.0
82,240,0.8333333333333334
83,241,1.0
84,242,1.0
85,244,1.0
86,248,1.0
87,249,1.0
88,250,1.0
89,252,1.0
90,253,1.0
91,255,1.0
92,256,1.0
93,258,1.0
94,259,1.0
95,260,1.0
96,262,1.0
97,263,1.0
98,264,1.0
99,266,1.0
100,267,1.0
101,268,1.0
102,269,1.0
103,281,1.0
104,282,1.0
105,286,1.0
106,290,0.9666666666666667
107,291,0.0
108,366,1.0
109,369,1.0
110,370,1.0
111,380,1.0
112,381,1.0
113,386,1.0
114,390,1.0
115,392,1.0
116,395,1.0
117,396,1.0
118,398,1.0
119,401,1.0
120,404,1.0
121,405,1.0
122,406,0.9666666666666667
123,410,1.0
124,412,0.0
125,413,0.8333333333333334
126,414,0.5333333333333333
127,420,0.9666666666666667
128,423,1.0
129,424,1.0
130,427,1.0
131,428,1.0
132,430,1.0
133,431,1.0
134,433,1.0
135,438,1.0
136,442,1.0
137,443,1.0
138,444,1.0
139,445,1.0
140,451,1.0
141,460,1.0
142,461,1.0
143,462,1.0
144,463,1.0
145,465,1.0
146,468,1.0
147,469,1.0
148,470,1.0
149,471,1.0
150,474,1.0
151,475,1.0
152,476,1.0
153,477,1.0
154,478,0.0
155,482,1.0
156,483,1.0
157,485,1.0
158,486,1.0
159,487,1.0
160,488,0.0
161,490,0.0
162,491,1.0
163,492,1.0
164,493,1.0
165,494,1.0
166,495,0.0
167,496,1.0
168,498,1.0
169,499,1.0
170,500,1.0
171,501,1.0
172,505,1.0
173,506,1.0
174,507,1.0
175,509,1.0
176,510,1.0
177,511,1.0
178,512,1.0
179,513,0.0
180,514,1.0
181,515,1.0
182,516,1.0
183,517,1.0
184,518,1.0
185,519,1.0
186,520,1.0
187,521,1.0
188,522,1.0
189,523,0.0
190,524,1.0
191,525,1.0
192,526,1.0
193,527,1.0
194,546,1.0
195,547,1.0
196,548,1.0
197,549,1.0
198,550,0.0
199,551,1.0
200,552,1.0
201,555,0.0
202,557,0.0
203,558,1.0
204,87,1.0
205,88,1.0
206,89,1.0
207,92,1.0
208,93,1.0
209,95,0.0
210,96,0.0
211,97,1.0
212,99,1.0
213,100,1.0
214,101,1.0
215,103,1.0
216,106,0.0
217,107,1.0
218,108,0.0
219,109,1.0
220,110,1.0
221,112,0.0
222,114,1.0
223,115,0.0
224,116,1.0
225,117,1.0
226,118,1.0
227,120,0.0
228,121,1.0
229,122,1.0
230,123,1.0
231,124,1.0
232,125,1.0
233,127,0.0
234,129,1.0
235,130,0.0
236,133,1.0
237,134,1.0
238,135,1.0
239,138,1.0
240,139,0.0
241,292,0.0
242,293,1.0
243,298,1.0
244,299,1.0
245,305,1.0
246,306,0.0
247,308,1.0
248,313,1.0
249,315,1.0
250,317,1.0
251,318,1.0
252,319,1.0
253,320,1.0
254,322,1.0
255,323,1.0
256,326,0.0
257,447,1.0
258,450,0.0
259,528,0.0
260,529,0.0
261,530,1.0
262,532,0.0
263,533,1.0
264,534,1.0
265,535,0.0
266,536,0.0
267,537,1.0
268,540,0.0
269,541,1.0
270,542,1.0
271,543,1.0
272,544,1.0
273,545,0.0
274,559,1.0
275,560,1.0
276,140,1.0
277,142,0.0
278,143,1.0
279,144,1.0
280,145,1.0
281,146,1.0
282,149,1.0
283,150,1.0
284,151,1.0
285,153,1.0
286,154,1.0
287,155,1.0
288,156,1.0
289,157,1.0
290,158,1.0
291,159,1.0
292,160,1.0
293,161,1.0
294,162,1.0
295,165,1.0
296,166,1.0
297,167,1.0
298,168,1.0
299,169,1.0
300,331,1.0
301,334,1.0
302,341,1.0
303,342,1.0
304,565,1.0
305,566,1.0
306,567,1.0
307,569,1.0
308,571,1.0
309,575,1.0
310,576,1.0
311,577,1.0
312,578,1.0
313,581,1.0
314,582,1.0
315,583,0.0
316,584,1.0
317,585,1.0
318,586,1.0
319,170,1.0
320,173,1.0
321,174,1.0
322,175,1.0
323,176,1.0
324,177,1.0
325,178,1.0
326,179,0.0
327,180,0.0
328,181,1.0
329,182,1.0
330,348,1.0
331,349,1.0
332,350,1.0
333,351,1.0
334,352,1.0
335,609,1.0
336,611,1.0
337,612,0.0
338,614,0.0
339,615,1.0
340,616,1.0
341,617,1.0
342,625,0.0
343,626,0.0
344,628,0.0
345,630,1.0
346,631,0.0
347,632,1.0
348,633,0.0
349,183,1.0
350,184,1.0
351,187,1.0
352,188,1.0
353,189,1.0
354,190,0.0
355,191,1.0
356,192,0.0
357,193,0.0
358,195,1.0
359,196,1.0
360,197,1.0
361,198,0.0
362,200,0.0
363,202,1.0
364,203,1.0
365,204,1.0
366,205,0.0
367,206,1.0
368,207,1.0
369,208,1.0
370,209,1.0
371,210,1.0
372,354,1.0
373,355,1.0
374,356,1.0
375,357,1.0
376,358,1.0
377,359,1.0
378,360,1.0
379,361,0.0
380,365,1.0
381,481,1.0
382,589,1.0
383,590,1.0
384,592,0.0
385,594,1.0
386,595,1.0
387,597,1.0
388,598,1.0
389,599,0.0
390,601,1.0
391,603,0.0
392,604,1.0
393,605,1.0
394,606,1.0
